Year,Rank,Company,Leadership,Country,Defense_Revenue_From_A_Year_Ago,Defense_Revenue_From_Two_Years_Ago,%Defense Revenue Change,Total Revenue,%of Revenue from Defence
2016,35,Hindustan Aeronautics,"T. Suvarna Raju, Chairman and Managing Director",India,"2,410.97","2,480.40",-2.80%,"2,560.61",94.16%
2016,36,Mitsubishi Heavy Industries 7,"Shunichi Miyanaga, President and CEO",Japan,"2,395.12","2,626.70",-8.82%,"42,761.81",5.60%
2016,37,"Tactical Missiles Corporation, JSC","Boris Obnosov, Director General",Russia,"2,387.78","2,147.80",11.17%,"2,498.22",95.58%
2016,38,Hanwha Group 8,"Seung Youn Kim, Chairman",South Korea,"2,374.74","1,545.00",53.70%,"2,427.72",97.82%
2016,39,CACI International,"Ken Asbury, President and CEO",US,"2,217.03","2,578.00",-14.00%,"3,313.45",66.91%
2016,40,Rockwell Collins,"Kelly Ortberg, President and CEO",US,"2,187.00","2,209.00",-1.00%,"5,244.00",41.70%
2016,41,Rafael Advanced Defense Systems,"Yoav Har-Even, President and CEO",Israel,"2,016.17","2,115.00",-4.67%,"2,016.17",100.00%
2016,42,Cobham,"Bob Murphy, CEO",UK,"1,965.50","1,860.00",5.67%,"3,170.16",62.00%
2016,43,Dassault Group,"Serge Dassault, CEO",France,"1,887.00","1,332.30",41.63%,"4,662.00",40.48%
2016,44,Kawasaki Heavy Industries 7,"Shigeru Murayama, President",Japan,"1,740.83","1,909.20",-8.82%,"13,523.72",12.87%
2016,45,Aerojet Rocketdyne,"Eileen Drake, CEO and President",US,"1,708.30","1,591.20",7.36%,"1,708.30",100.00%
2016,46,CSRA 9,"Lawrence Prior, President and CEO",US,"1,684.85","2,177.00",-22.61%,"5,191.25",32.46%
2016,47,Korea Aerospace Industries,"Ha, Sung-Yong, President and CEO",South Korea,"1,678.86","1,160.00",44.73%,"2,552.91",65.76%
2016,48,"Concern Radioelectronic Technologies, JSC","Nikolay Kolesov, CEO",Russia,"1,678.41",NA,NA,"1,963.56",85.48%
2016,49,ST Engineering,"Tan Pheng Hock, President and CEO",Singapore,"1,659.32","2,012.80",-17.56%,"4,609.36",36.00%
2016,50,Serco 1,"Rupert Soames, CEO",UK,"1,613.43","2,174.80",-25.81%,"4,609.36",35.00%
2016,51,LIG Nex1,"Lee Hyo-koo, CEO",South Korea,"1,528.67","1,330.00",14.94%,"1,528.67",100.00%
2016,52,ManTech International,"George Pedersen, Chairman and CEO",US,"1,406.00","1,046.70",34.33%,"1,550.12",90.70%
2016,53,DynCorp,"S. Gordon Walsh, CEO",US,"1,287.35","1,579.00",-18.47%,"1,923.18",66.94%
2016,54,Nexter Group 10,"StŽphane Mayer, CEO",France,"1,187.70","1,392.80",-14.73%,"1,187.70",100.00%
2016,55,Vectrus 11,"Kenneth Hunzeker, President and CEO",US,"1,180.00",NA,NA,"1,180.00",100.00%
2016,56,Fincantieri,"Giuseppe Bono, CEO",Italy,"1,172.16","1,406.80",-16.68%,"4,643.07",25.25%
2016,57,Accenture,"Pierre Nanterme, Chairman and CEO",US,"1,140.00","1,059.50",7.60%,"31,000.00",3.68%
2016,58,Aselsan,"Faik Eken, CEO",Turkey,"1,025.98","1,109.00",-7.49%,"1,025.98",100.00%
2016,59,Fluor,"David Thomas Seaton, Chairman and CEO",US,"1,019.66","1,319.30",-22.71%,"18,100.00",5.63%
2016,60,Uralvagonzavod,"Oleg Sienko, CEO",Russia,"1,014.39","1,545.00",-34.34%,"1,758.47",57.69%
2016,61,Bharat Electronics,"S.K. Sharma, Chairman & Managing Director",India,982.12,875.70,12.15%,"1,094.57",89.73%
2016,62,GKN Aerospace,"Kevin Cummings, CEO",UK,953.47,990.20,-3.71%,"3,820.00",24.96%
2016,63,Ultra Electronics 1,"Rakesh Sharma, CEO",UK,943.32,951.50,-0.86%,"1,109.79",85.00%
2016,64,Oshkosh Defense 12,"Charles Szews, CEO",US,939.80,"1,725.00",-45.52%,"6,098.10",15.41%
2016,65,PAE,"John Heller, CEO",US,939.50,895.20,4.95%,"2,109.53",44.54%
2016,66,NEC 7,"Nobuhiro Endo, Chairman",Japan,921.83,"1,011.00",-8.82%,"26,710.32",3.45%
2016,67,Austal 13,"David Singleton, CEO",Australia,920.00,791.00,16.31%,"1,060.00",86.79%
2016,68,Ukroboronprom,"Roman Romanov, General Director",Ukraine,920.00,575.90,59.75%,920.00,100.00%
2016,69,QinetiQ,"Steve Wadey, CEO",UK,912.22,"1,017.90",-10.38%,"1,154.56",79.01%
2016,70,Kongsberg 14,"Walter Qvam, President & CEO",Norway,894.29,929.80,-3.82%,"2,113.67",42.31%
2016,71,Engility,"Lynn Dugle, CEO",US,888.72,"1,530.00",-41.91%,"2,086.00",42.60%
2016,72,Turkish Aerospace Industries,"Muharrem Dortkasli, President and CEO",Turkey,886.55,853.60,3.86%,"1,034.65",85.69%
2016,73,Vencore,"Mac Curtis, President and CEO",US,880.48,838.62,4.99%,"1,155.05",76.23%
2016,74,Meggitt 1,"Stephen Young, CEO",UK,877.07,888.70,-1.31%,"2,505.92",35.00%
2016,75,Cubic,"Bradley Feldmann, President & CEO",US,864.20,798.70,8.20%,"1,431.00",60.39%
2016,76,Moog,"John Scannell, CEO",US,848.39,837.80,1.26%,"2,525.53",33.59%
2016,77,ANA Holdings 7,"Shinya Katanozaka, President & CEO",Japan,844.48,926.10,-8.81%,"15,592.46",5.42%
2016,78,Ruag,"Urs Breitmeier, CEO",Switzerland,816.19,718.40,13.61%,"1,813.76",45.00%
2016,79,Embraer,"Paulo Cesar de Souza e Silva, CEO",Brazil,811.10,"1,459.50",-44.43%,"5,928.10",13.68%
2016,80,Curtiss-Wright,"David Adams, Chairman and CEO",US,787.27,749.60,5.03%,"2,205.68",35.69%
2016,81,Mitsubishi Electric 7,"Masaki Sakuyama, President and CEO",Japan,784.42,860.30,-8.82%,"39,339.67",1.99%
2016,82,CAE,"Gene Colabatistto, Group President, Defence & Security",Canada,741.16,755.60,-1.91%,"1,919.17",38.62%
2016,83,RTI,"Sergey Boev, General Director",Russia,660.13,947.20,-30.31%,"1,050.60",62.83%
2016,84,ViaSat 15,"Mark Dankberg, Chairman and CEO",US,607.50,535.50,13.45%,"1,417.00",42.87%
2016,85,Indra 16,"Frenando Abril-Martorell, Chairman",Spain,601.62,676.00,-11.00%,"3,163.50",19.02%
2016,86,AAR Corp.,"David Storch, Chairman, President and CEO",US,589.80,827.40,-28.72%,"1,594.30",36.99%
2016,87,Ball Aerospace,"David Taylor, President and CEO",US,577.30,681.00,-15.23%,810.10,71.26%
2016,88,IHI Corporation 7,"Tamotsu Saito, CEO",Japan,563.29,617.80,-8.82%,"15,145.13",3.72%
2016,89,Day & Zimmermann,"Hal Yoh, Chairman and CEO",US,559.36,555.00,0.79%,"2,700.00",20.72%
2016,90,Israel Military Industries,"Ian Graham King, CEO",Israel,511.00,475.80,7.40%,511.00,100.00%
2016,91,Toshiba,"Masashi Muromachi, CEO",Japan,479.57,NA,NA,"60,568.69",0.79%
2016,92,Chemring 1,"Michael Flowers, CEO",UK,478.13,723.70,-33.93%,576.06,83.00%
2016,93,Battelle,"Jeffrey Wadsworth, President and CEO",US,476.00,569.20,-16.37%,"4,800.00",9.92%
2016,94,Diehl Defence Holding,"Heinrich Schunk, President",Germany,449.55,648.50,-30.68%,"3,450.44",13.03%
2016,95,Fujitsu 7,"Masami Yamamoto, Chairman",Japan,440.47,525.90,-16.24%,"39,727.90",1.11%
2016,96,Patria 17,Heikki Allonen,Finland,431.42,555.80,-22.38%,"4,747.47",9.09%
2016,97,Denel,"Zoli - Kunene, Chairman",South Africa,415.49,454.60,-8.60%,415.49,100.00%
2016,98,Telephonics,"Joseph J. Battaglia, President and CEO",US,397.68,367.95,8.08%,"2,016.03",19.73%
2016,99,Nammo 11,"Morten Brandtzaeg, President and CEO",Norway,363.12,527.40,-31.15%,453.96,79.99%
2016,100,Komatsu Ltd. 7,"Kunio Noji, Chairman",Japan,308.49,NA,NA,"18,005.95",1.71%
2015,1,Lockheed Martin,"Marillyn Hewson, Chairman, President & CEO",US,"40,128.00","40,494.00",-0.90%,"45,600.00",88.00%
2015,2,Boeing,"Dennis Muilenburg, President & CEO",US,"29,000.00","32,000.00",-9.40%,"90,762.00",32.00%
2015,3,BAE Systems,"Ian King, CEO",UK,"25,449.00","28,014.00",-9.20%,"27,411.30",92.80%
2015,4,Raytheon,"Thomas Kennedy, Chairman & CEO",US,"22,228.20","22,047.60",0.80%,"22,826.00",97.40%
2015,5,General Dynamics,"Phebe Novakovic, Chairman & CEO",US,"18,561.00","18,836.00",-1.50%,"30,852.00",60.20%
2015,6,Northrop Grumman,"Wes Bush, Chairman, President & CEO",US,"18,400.00","19,500.00",-5.60%,"23,979.00",76.70%
2015,7,Airbus Group1,"Tom Enders, CEO",Netherlands,"14,609.50","16,546.50",-11.70%,"80,686.40",18.10%
2015,8,United Technologies,"Gregory Hayes, President & CEO",US,"13,020.00","11,894.00",9.50%,"65,100.00",20.00%
2015,9,Finmeccanica,"Mauro Moretti, CEO & General Manager",Italy,"10,561.40","10,896.30",-3.10%,"19,486.80",54.20%
2015,10,L-3 Communications,"Michael Strianese, Chairman, President & CEO",US,"9,808.00","10,336.00",-5.10%,"12,124.00",80.90%
2015,11,Almaz-Antey,"Yan Novikov, CEO",Russia,"9,209.80","8,326.30",10.60%,"9,209.80",100.00%
2015,12,Thales2,"Patrice Caine, Chairman & CEO",France,"8,461.60","10,961.60",-22.80%,"17,242.20",49.10%
2015,13,Huntington Ingalls Industries,"Mike Petters, President & CEO",US,"6,818.00","6,324.00",7.80%,"6,957.00",98.00%
2015,14,United Aircraft Corp3,"Yury Slyusar, President & Chairman of Management Board",Russia,"6,244.00","5,831.70",7.10%,"7,805.30",80.00%
2015,15,Rolls-Royce,"Warren East, CEO",UK,"5,433.70","6,123.60",-11.30%,"24,035.30",22.60%
2015,16,Honeywell,"Tim Mahoney, President & CEO",US,"4,754.00","4,900.00",-3.00%,"40,300.00",11.80%
2015,17,Textron,"Scott Donnelly, Chairman, President & CEO",US,"4,719.00","4,236.00",11.40%,"13,878.00",34.00%
2015,18,AECOM4,"Michael Burke, Chairman & CEO",US,"4,433.00","1,712.60",158.80%,"19,641.20",22.60%
2015,19,Booz Allen Hamilton,"Horacio Rozanski, President & CEO",US,"4,100.00","4,300.00",-4.70%,"5,479.00",74.80%
2015,20,Safran,"Phillippe Petitcolin, CEO",France,"4,081.30","4,027.00",1.30%,"20,406.50",20.00%
2015,21,DCNS,"Herve Guillou, CEO",France,"4,074.70","4,601.70",-11.50%,"4,074.70",100.00%
2015,22,GE,"David Joyce, President & CEO",US,"4,000.00","4,000.00",0.00%,"24,000.00",16.70%
2015,23,Russian Helicopters,"Alexander Mikheev, CEO",Russia,"3,960.00","3,406.40",16.30%,"4,500.80",88.00%
2015,24,Leidos5,"Roger Krone, Chairman & CEO",US,"3,627.00","4,080.00",-11.10%,"5,063.00",71.60%
2015,25,Babcock International3,"Peter Rogers, CEO",UK,"3,558.80","3,423.80",3.90%,"7,414.20",48.00%
2015,26,United Engine-Building,"Vladislav Masalov, General Director",Russia,"3,323.60","2,647.00",25.60%,"5,405.20",61.50%
2015,27,Bechtel,"Craig Albert, Chairman",US,"3,000.00","2,600.00",15.40%,"37,200.00",8.10%
2015,28,Rheinmetall,"Armin Papperger, CEO",Germany,"2,976.90","2,952.80",0.80%,"6,230.30",47.80%
2015,29,Elbit Systems6,"Bezhalel Machlis, President & CEO",Israel,"2,958.20","2,925.20",1.10%,"2,958.20",100.00%
2015,30,Saab,"Håkan Bushke, President & CEO",Sweden,"2,829.30","2,948.30",-4.00%,"3,438.50",82.30%
2015,31,Tactical Missiles,"Boris Obnosov, Director General",Russia,"2,812.60","1,892.70",48.60%,"2,960.60",95.00%
2015,32,Israel Aerospace Industries6,"Joseph Weiss, President & CEO",Israel,"2,785.00","2,646.00",5.30%,"3,827.00",72.80%
2015,33,Orbital ATK7 8,"David Thompson, President & CEO",US,"2,750.00","2,525.00",8.90%,"4,400.00",62.50%
2015,34,SAIC5,"Tony Moraco, CEO",US,"2,735.00","2,887.00",-5.30%,"3,835.00",71.30%
2015,35,Exelis9,"David Melcher, President & CEO",US,"2,644.00","2,655.00",-0.40%,"3,277.00",80.70%
2015,36,Mitsubishi Heavy Industries7,"Shunichi Miyanaga, President & CEO",Japan,"2,626.70","3,354.90",-21.70%,"46,897.00",5.60%
2015,37,CACI International10,"Ken Asbury, President & CEO",US,"2,578.00","2,735.00",-5.70%,"3,565.00",72.30%
2015,38,Hindustan Aeronautics7,"T. Suvarna Raju, Chairman & Managing Director",India,"2,480.40","2,459.00",0.90%,"2,531.00",98.00%
2015,39,Harris11 12,"William Brown, Chairman, President & CEO",US,"2,384.70","2,418.00",-1.40%,"5,012.00",47.60%
2015,40,Hewlett-Packard,"Meg Whitman, Chariman, President & CEO",US,"2,240.80","4,070.40",-44.90%,"111,500.00",2.00%
2015,41,Rockwell Collins13,"Kelly Ortberg, President & CEO",US,"2,209.00","2,395.00",-7.80%,"4,979.00",44.40%
2015,42,CSC,"Mike Lawrie, President & CEO",US,"2,177.00","2,401.00",-9.30%,"12,200.00",17.80%
2015,43,Serco,"Rupert Soames, Group CEO",UK,"2,174.80","2,124.60",2.40%,"7,826.10",27.80%
2015,44,ST Engineering,"Tan Pheng Hock, President & CEO",Singapore,"2,012.80","1,988.20",1.20%,"5,161.00",39.00%
2015,45,Rafael Advanced Defense Systems,"Yedidia Yaari, President & CEO",Israel,"1,965.40","2,115.00",-7.10%,"1,965.40",100.00%
2015,46,Kawasaki Heavy Industries7,"Shigeru Murayama, President",Japan,"1,909.20","1,004.90",90.00%,"17,094.70",11.20%
2015,47,Cobham,"Bob Murphy, CEO",UK,"1,860.00","1,907.00",-2.50%,"3,051.40",61.00%
2015,48,Oshkosh13,"Charles Szews, CEO",US,"1,725.00","3,050.00",-43.40%,"6,808.00",25.30%
2015,49,General Atomics14,"Linden Blue, CEO",US,"1,655.00","2,149.60",-23.00%,-,-
2015,50,Aerojet Rocketdyne15,"Eileen Drake, President",US,"1,591.20","1,377.40",15.50%,"1,597.40",99.60%
2015,51,DynCorp,"James Geisler, CEO",US,"1,579.00","3,100.00",-49.10%,"2,252.00",70.10%
2015,52,Uralvagonzavod6,"Oleg Sienko, CEO",Russia,"1,545.00","1,529.00",1.00%,"2,992.00",51.60%
2015,53,Hanwha16,"Lee Tae-jong, Executive Vice President",South Korea,"1,545.00","1,529.70",1.00%,"5,154.30",30.00%
2015,54,Engility,"Anthony Smeraglinolo, President & CEO",US,"1,530.00",846.00,80.90%,"2,500.00",61.20%
2015,55,Embraer,"Frederico Fleury Curado, President & CEO",Brazil,"1,459.50","1,101.80",32.50%,"6,357.60",23.00%
2015,56,Fincantieri,"Giuseppe Bono, CEO",Italy,"1,406.80","1,543.20",-8.80%,"5,845.80",24.10%
2015,57,Nexter,"Philippe Burtin, CEO",France,"1,392.80","1,078.30",29.20%,"1,392.80",100.00%
2015,58,Dassault Aviation,"Eric Trappier, CEO",France,"1,332.30","1,923.80",-30.70%,"4,890.60",27.20%
2015,59,LIG Nex1,"Lee Hyo-koo, CEO",South Korea,"1,330.10","1,087.40",22.30%,"1,330.10",100.00%
2015,60,Fluor,"David Seaton, Chairman & CEO",US,"1,319.30","1,752.70",-24.70%,"21,531.00",6.10%
2015,61,Korea Aerospace Industries,"Ha Sung-yong, President and CEO",South Korea,"1,160.00","1,364.20",-15.00%,"2,199.10",52.70%
2015,62,Aselsan,"Faik Eken, CEO",Turkey,"1,109.00","1,001.40",10.70%,"1,142.50",97.10%
2015,63,Accenture17,"Pierre Nanterme, CEO",US,"1,059.50",888.00,19.30%,"30,000.00",3.50%
2015,64,ManTech,"George Pedersen, Chairman & CEO",US,"1,046.70","2,208.00",-52.60%,"1,774.00",59.00%
2015,65,QinetiQ3,"Steve Wadey, CEO",UK,"1,017.90","1,286.00",-20.80%,"1,288.40",79.00%
2015,66,NEC7,"Nobuhiro Endo, President",Japan,"1,011.00",846.90,19.40%,"29,296.30",3.50%
2015,67,GKN Aerospace,"Kevin Cummings, CEO",UK,990.20,993.40,-0.30%,"3,667.60",27.00%
2015,68,Ultra Electronics3 18,"Rakesh Sharma, CEO",UK,951.50,932.30,2.10%,"1,174.70",81.00%
2015,69,RTI,"Sergey Boev, CEO",Russia,947.20,819.00,15.70%,"1,877.30",50.50%
2015,70,Krauss-Maffei Wegmann,"Frank Haun, CEO",Germany,934.60,"1,096.20",-14.70%,934.60,100.00%
2015,71,Kongsberg,"Walter Qvam, President & CEO",Norway,929.80,"1,272.20",-26.90%,"2,644.00",35.20%
2015,72,Ana Holdings7,"Shinya Katanozaka, President & CEO",Japan,926.10,-,-,"17,100.30",5.40%
2015,73,Samsung Techwin19,"Kim Cheol-kyo, CEO",South Korea,904.80,945.00,-4.30%,"2,484.80",36.40%
2015,74,PAE,"John Heller, CEO",US,895.20,704.10,27.10%,"1,816.50",49.30%
2015,75,Meggitt,"Stephen Young, CEO",UK,888.70,"1,015.40",-12.50%,"2,559.90",34.70%
2015,76,Bharat Electronics7,"S.K. Sharma, Chairman & Managing Director",India,875.70,853.40,2.60%,"1,094.60",80.00%
2015,77,Mitsubishi Electric7,"Kenichiro Yamanishi, CEO",Japan,860.30,"1,102.40",-22.00%,"43,143.50",2.00%
2015,78,Turkish Aerospace Industries6,"Muharrem Dörtkasli, President & CEO",Turkey,853.60,788.40,8.30%,"1,001.00",85.30%
2015,79,Moog,"John Scannell, CEO",US,837.80,861.00,-2.70%,"2,648.40",31.60%
2015,80,AAR Corp20,"David Storch, Chairman & CEO",US,827.40,839.20,-1.40%,"2,035.00",40.70%
2015,81,Cubic13,"Bradley Feldmann, President & CEO",US,798.70,831.70,-4.00%,"1,398.40",57.10%
2015,82,CAE,"Marc Parent, President & CEO",Canada,755.60,772.40,-2.20%,"1,979.30",38.20%
2015,83,Alion Science and Technology,"Bahman Atefi, Chairman & CEO",US,753.70,790.90,-4.70%,804.80,93.70%
2015,84,Curtiss-Wright,"David Adams, Chairman & CEO",US,749.60,730.10,2.70%,"2,243.10",33.40%
2015,85,Chemring21,"Michael Flowers, Group Chief Executive",UK,723.70,973.20,-25.60%,786.60,92.00%
2015,86,Ruag,"Urs Breitmeier, CEO",Switzerland,718.40,750.80,-4.30%,"1,670.80",43.00%
2015,87,Ball Aerospace & Technologies,"Robert Strain, President",US,681.00,677.00,0.60%,934.80,72.80%
2015,88,Indra,"Frenando Abril-Martorell, Chairman",Spain,676.00,678.00,-0.30%,"3,904.40",17.30%
2015,89,Wyle,"Roger Wiederkehr, President & CEO",US,650.70,676.90,-3.90%,865.50,75.20%
2015,90,Diehl Defence Holding,"Claus Günther, CEO",Germany,648.50,730.30,-11.20%,"4,038.90",16.10%
2015,91,IHI7,"Tamotsu Saito, CEO",Japan,617.80,512.00,20.70%,"14,528.90",4.30%
2015,92,Ukroboronprom,"Roman Romanov, General Director",Ukraine,575.90,681.10,-15.40%,575.90,100.00%
2015,93,Battelle13,"Jeffrey Wadsworth, President & CEO",US,569.20,613.90,-7.30%,"5,600.00",10.20%
2015,94,Patria22,"Heikki Allonen, President & CEO",Finland,555.80,"1,028.30",-45.90%,614.50,90.40%
2015,95,Day & Zimmerman,"Hal Yoh, Chairman & CEO",US,555.00,518.80,7.00%,"2,500.00",22.20%
2015,96,ViaSat,"Mark Dankberg, Chairman & CEO",US,535.50,565.20,-5.30%,"1,382.50",38.70%
2015,97,Nammo,"Edgar Fossheim, President & CEO",Norway,527.40,529.80,-0.50%,591.60,89.10%
2015,98,Fujitsu7,"Tatsuya Tanaka, President",Japan,525.90,-,-,"47,436.90",1.10%
2015,99,Israel Military Industries,"Avi Felder, President & CEO",Israel,475.80,560.00,-15.00%,475.80,100.00%
2015,100,Denel,"Zoli - Kunene, Chairman",South Africa,454.60,388.20,17.10%,454.60,100.00%
2014,1,Lockheed Martin,"Marillyn Hewson, Chairman, President & CEO",US,"40,494.00","44,883.00",-9.80%,"45,358.00",89.30%
2014,2,Boeing,"W. James McNerney, Chairman & CEO",US,"32,000.00","31,378.00",2.00%,"86,623.00",36.90%
2014,3,BAE Systems,"Ian King, CEO",UK,"28,014.00","26,813.10",4.50%,"29,802.50",94.00%
2014,4,Raytheon1,"Thomas Kennedy, CEO",US,"22,047.60","22,705.00",-2.90%,"23,706.00",93.00%
2014,5,Northrop Grumman,"Wes Bush, Chairman, President & CEO",US,"19,500.00","20,600.00",-5.30%,"24,661.00",79.10%
2014,6,General Dy-mics,"Phebe Novakovic, Chairman & CEO",US,"18,836.00","21,023.00",-10.40%,"31,218.00",60.30%
2014,7,Airbus Group2,"Thomas Enders, CEO",Netherlands,"16,546.50","14,913.00",11.00%,"81,192.60",20.40%
2014,8,United Technologies,"Louis Chenevert, Chairman & CEO",US,"11,894.00","12,117.00",-1.80%,"62,600.00",19.00%
2014,9,Thales,"Jean-Ber-rd Levy, Chairman & CEO",France,"10,961.60","9,212.60",19.00%,"19,456.80",56.30%
2014,10,Finmeccanica,"Mauro Moretti, General Ma-ger & CEO",Italy,"10,896.30","12,528.70",-13.00%,"21,968.40",49.60%
2014,11,L-3 Communications,"Michael Strianese, Chairman, President & CEO",US,"10,337.00","10,839.00",-4.60%,"12,629.00",81.90%
2014,12,Almaz-Antey,"Vladislaw Vladamirovich Menshikov, General Director",Russia,"8,326.30","5,754.30",44.70%,"8,326.30",100.00%
2014,13,Huntington Ingalls Industries,"Mike Petters, President & CEO",US,"6,324.00","6,240.30",1.30%,"6,800.00",93.00%
2014,14,Rolls-Royce3,"John Rishton, CEO",UK,"6,123.60","5,098.00",20.10%,"25,409.20",24.10%
2014,15,Honeywell,"David Cote, Chairman & CEO",US,"4,900.00","5,100.00",-3.90%,"39,055.00",12.50%
2014,16,DCNS,"Patrick Boissier, Chairman & CEO",France,"4,601.70","3,766.80",22.20%,"4,601.70",100.00%
2014,17,Textron,"Scott Donnelly, President & CEO",US,"4,236.40","4,288.00",-1.20%,"12,104.00",35.00%
2014,18,Booz Allen Hamilton**,"Ralph Shrader, Chairman & CEO",US,"4,100.00","4,800.00",-14.60%,"5,758.10",71.20%
2014,18,GE**,"Jeffrey Immelt, Chairman & CEO",US,"4,100.00","4,000.00",2.50%,"146,045.00",2.80%
2014,20,Exelis,"David Melcher, President & CEO",US,"4,093.00","4,251.50",-3.70%,"4,816.00",85.00%
2014,21,Leidos4,"Roger Krone, CEO",US,"4,080.00","4,680.00",-12.80%,"5,772.00",70.70%
2014,22,Hewlett-Packard,"Meg Whitman, Chairman, President & CEO",US,"4,070.70","2,668.80",52.50%,"112,000.00",3.60%
2014,23,Safran,"Jean-Paul Herteman, Chairman & CEO",France,"4,027.00","3,486.50",15.50%,"20,135.10",20.00%
2014,24,Babcock Inter-tio-l,"Peter Rogers, CEO",UK,"3,423.80","3,110.80",10.10%,"5,803.10",59.00%
2014,25,Russian Helicopters,"Alexander Mikheev, CEO",Russia,"3,406.40","3,489.10",-2.40%,"4,230.80",80.50%
2014,26,Mitsubishi Heavy Industries5,"Shunichi Miya-ga, President & CEO",Japan,"3,354.90","2,907.60",15.40%,"36,252.00",9.30%
2014,27,Oshkosh6,"Charles Szews, CEO",US,"3,047.00","3,947.50",-22.80%,"7,665.10",39.80%
2014,28,Rheinmetall,"Armin Papperger, CEO",Germany,"2,952.80","3,001.90",-1.60%,"6,320.70",46.70%
2014,29,Saab,"HÃ¥kan Buskhe, President & CEO",Sweden,"2,948.30","3,013.10",-2.10%,"3,652.80",80.70%
2014,30,Elbit Systems,"Bezhalel Machlis, President & CEO",Israel,"2,925.20","2,744.20",6.60%,"2,925.20",100.00%
2014,31,SAIC7,"Anthony Moraco, CEO",US,"2,884.70","3,346.7",-13.8%,"4,121.00",70.00%
2014,32,CACI Inter-tio-l8,"Ken Asbury, President & CEO",US,"2,735.10","2,944.90",-7.10%,"3,682.00",74.30%
2014,33,URS,"Martin Koffel, CEO",US,"2,702.90","3,471.20",-22.10%,"10,990.70",24.60%
2014,34,United Engine-Building,"Vladislav Masalov, General Director",Russia,"2,647.00","1,857.60",42.50%,"4,859.10",54.50%
2014,35,Israel Aerospace Industries9,"Joseph Weiss, President & CEO",Israel,"2,646.00","2,481.00",6.70%,"3,642.00",72.70%
2014,36,Bechtel,"Craig Albert, Chairman",US,"2,600.00","2,500.00",4.00%,"39,400.00",6.60%
2014,37,ATK,"Mark DeYoung, President & CEO",US,"2,525.00","3,047.00",-17.10%,"4,800.00",52.60%
2014,38,DynCorp,"Steven Gaffney, Chairman & CEO",US,"2,479.60","3,100.30",-2.00%,"3,287.20",75.40%
2014,39,Hindustan Aero-utics10,"Ravindra Tyagi, Chairman & Ma-ging Director",India,"2,459.00","2,619.80",-6.10%,"2,535.10",97.00%
2014,40,Harris11,"William Brown, Chairman, President & CEO",US,"2,418.00","2,794.40",-13.50%,"5,111.70",47.30%
2014,41,CSC,"Mike Lawrie, President & CEO",US,"2,401.00","3,687.00",-34.90%,"12,998.00",18.50%
2014,42,Rockwell Collins6,"Kelly Ortberg, President & CEO",US,"2,395.00","2,591.00",-7.60%,"4,610.00",52.00%
2014,43,ManTech,"George Pederson, Chairman & CEO",US,"2,207.60","2,464.00",-10.40%,"2,310.10",95.60%
2014,44,Fluor12,"David Seaton, Chairman & CEO",US,"2,162.30","1,865.40",15.90%,"27,351.60",7.90%
2014,45,General Atomics12,"J. Neal Blue, Chairman & CEO",US,"2,149.60","2,460.10",-12.60%,-,-
2014,46,Aviation Holding Co. Sukhoi,"Igor Yakovlevich Ozar, General Director",Russia,"2,126.70","2,270.80",-6.30%,"2,739.90",77.60%
2014,47,Serco1,"Rupert Soames, CEO",UK,"2,124.60","1,946.40",9.20%,"8,430.90",25.20%
2014,48,Rafael Advanced Defense Systems,"Yedidia Yaari, President & CEO",Israel,"2,115.00","1,781.50",18.70%,"2,115.00",100.00%
2014,49,ST Engineering,"Tan Pheng Hock, President & CEO",Singapore,"1,988.20","1,889.10",5.20%,"5,232.20",38.00%
2014,50,Dassault Aviation,"Eric Trappier, Chairman & CEO",France,"1,923.80","1,470.70",30.80%,"6,293.30",30.60%
2014,51,Cobham,"Bob Murphy, CEO",UK,"1,907.00","1,890.50",0.90%,"2,933.90",65.00%
2014,52,Concern Radio-Electronic Technologies,"Nikolay Kolesov, General Director",Russia,"1,801.00","1,603.70",12.30%,"2,364.70",76.20%
2014,53,Fincantieri,"Giuseppe Bono, CEO",Italy,"1,543.20","1,149.80",34.20%,"5,221.80",29.60%
2014,54,GenCorp,"Scott J. Seymour, President & CEO",US,"1,377.40",986.1,39.70%,"1,383.10",99.60%
2014,55,Korea Aerospace Industries13,"Ha Sung-yong, President & CEO",South Korea,"1,364.20","1,039.50",31.20%,"1,814.70",75.20%
2014,56,Irkut,"Roman Zhurenko, General Director",Russia,"1,350.70","1,045.10",29.20%,"1,857.10",72.70%
2014,57,Kongsberg,"Walter Qvam, President & CEO",Norway,"1,272.20","1,183.20",7.50%,"2,650.40",48.00%
2014,58,QinetiQ1,"Leo Quinn, CEO",UK,"1,268.00","1,410.40",-10.10%,"1,950.80",65.00%
2014,59,Mitsubishi Electric5,"Masaki Sakuyama, President & CEO",Japan,"1,102.40","1,500.40",-26.50%,"42,975.60",2.60%
2014,60,Embraer,"Frederico Fleury Curado, President & CEO",Brazil,"1,101.80","1,068.10",3.20%,"5,776.10",19.10%
2014,61,Krauss-Maffei Wegmann,"Frank Haun, CEO",Germany,"1,096.20","1,028.50",6.60%,"1,096.20",100.00%
2014,62,LIG Nex1,"Lee Hyo koo, CEO",South Korea,"1,087.40",856.9,26.90%,"1,087.40",100.00%
2014,63,Nexter,"Philippe Burtin, CEO",France,"1,078.30",953.9,13.10%,"1,078.30",100.00%
